#Zeitstempel	Wert
576300	24.917
576600	24.857
576900	24.797
577200	24.759
577500	24.753
577800	24.749
578100	24.744
578400	24.739
578700	24.734
579000	24.729
579300	24.725
579600	24.72
579900	24.715
580200	24.71
580500	24.705
580800	24.701
581100	24.696
581400	24.691
581700	24.686
582000	24.681
582300	24.677
582600	24.672
582900	24.667
583200	24.662
583500	24.658
583800	24.653
584100	24.648
584400	24.643
584700	24.638
585000	24.634
585300	24.629
585600	24.624
585900	24.619
586200	24.614
586500	24.61
586800	24.605
587100	24.6
587400	24.595
587700	24.59
588000	24.555
588300	24.471
588600	24.388
588900	24.304
589200	24.22
589500	24.142
589800	24.126
590100	24.125
590400	24.123
590700	24.122
591000	24.12
591300	24.118
591600	24.117
591900	24.115
592200	24.114
592500	24.112
592800	24.111
593100	24.109
593400	24.108
593700	24.106
594000	24.105
594300	24.103
594600	24.102
594900	24.1
595200	24.098
595500	24.097
595800	24.095
596100	24.094
596400	24.092
